Fecha,Ciudad,Sistema,Pasajeros/dia,Variación Transmilenio,Pasajeros día típico laboral,Pasajeros día sábado,Pasajeros día festivo,DíaSemana
02/04/2020,Medellin,SITVA,254199,"-0,866350189",1901978,1498727,780939,4
02/04/2020,Pereira,MEGABUS,21900,"-0,829201145",128221,100186,52276,4
03/04/2020,Bogotá,TRANSMILENIO/SITP,654132,"-0,830538429",3860061,2499019,1188607,5
03/04/2020,Cartagena,TRANSCARIBE,4561,"-0,967421429",140000,95430,45203,5
03/04/2020,Barranquilla,TRANSMETRO,26613,"-0,815541046",144276,110000,52000,5
03/04/2020,Bucaramanga,METROLINEA,18912,"-0,821843736",106154,70267,33354,5
03/04/2020,Medellin,SITVA,263604,"-0,861405337",1901978,1498727,780939,5
03/04/2020,Pereira,MEGABUS,21299,"-0,833888365",128221,100186,52276,5
04/04/2020,Bogotá,TRANSMILENIO/SITP,493786,"-0,802408065",3860061,2499019,1188607,6
04/04/2020,Cartagena,TRANSCARIBE,2996,"-0,96860526",140000,95430,45203,6
04/04/2020,Barranquilla,TRANSMETRO,20185,"-0,8165",144276,110000,52000,6
04/04/2020,Bucaramanga,METROLINEA,10367,"-0,852462749",106154,70267,33354,6
04/04/2020,Medellin,SITVA,211518,"-0,858868226",1901978,1498727,780939,6
04/04/2020,Pereira,MEGABUS,15000,"-0,850278482",128221,100186,52276,6
05/04/2020,Bogotá,TRANSMILENIO/SITP,256735,"-0,78400346",3860061,2499019,1188607,7
05/04/2020,Cartagena,TRANSCARIBE,1031,"-0,977191779",140000,95430,45203,7
05/04/2020,Barranquilla,TRANSMETRO,10299,"-0,801942308",144276,110000,52000,7
05/04/2020,Bucaramanga,METROLINEA,5828,"-0,825268334",106154,70267,33354,7
05/04/2020,Medellin,SITVA,104297,"-0,866446675",1901978,1498727,780939,7
05/04/2020,Pereira,MEGABUS,6444,"-0,876731196",128221,100186,52276,7
06/04/2020,Bogotá,TRANSMILENIO/SITP,680940,"-0,823593461",3860061,2499019,1188607,1
06/04/2020,Cartagena,TRANSCARIBE,4159,"-0,970292857",140000,95430,45203,1
06/04/2020,Barranquilla,TRANSMETRO,25646,"-0,822243478",144276,110000,52000,1
06/04/2020,Bucaramanga,METROLINEA,20673,"-0,80525463",106154,70267,33354,1
06/04/2020,Medellin,SITVA,267300,"-0,859462097",1901978,1498727,780939,1
06/04/2020,Pereira,MEGABUS,21129,"-0,8352142",128221,100186,52276,1
07/04/2020,Bogotá,TRANSMILENIO/SITP,610591,"-0,841818303",3860061,2499019,1188607,2
07/04/2020,Cartagena,TRANSCARIBE,4207,"-0,96995",140000,95430,45203,2
07/04/2020,Barranquilla,TRANSMETRO,27246,"-0,811153622",144276,110000,52000,2
07/04/2020,Bucaramanga,METROLINEA,19440,"-0,816869831",106154,70267,33354,2
